p2_uplift_seminarWI
Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
0;1;0;0;0;0;0;;;55345;97566;;;0;;0;74;;;;3;;0;1;8;;1680;;23;0;0;0;1;0
0;1;0;6;0;0;0;;;;;23063;May 25;0;;;;;0;;0;;0;1;2;;1600;;8;0;0;0;0;1
0;1;0;0;0;0;0;;;;99738;;;0;;0;;;;;0;;0;1;1;9;1680;;19;0;0;0;1;0
0;1;0;5;0;0;0;;;;;59394;;0;;;;;0;;0;;0;1;2;49;1680;;8;0;0;0;0;1
0;1;0;0;0;0;0;;;0;184483;;0;0;;0;202;;;;1;;0;1;2;;1440;;18;0;0;1;0;0
0;1;0;0;0;0;0;;;0;136005;;0;0;;0;106;;;;1;;0;1;1;11;1920;;18;0;0;0;1;0
0;1;0;0;0;0;0;;;;70709;;;0;;0;;;;;0;;0;1;1;8;1680;;16;0;0;0;1;0
0;1;0;0;0;0;0;;;7940;110239;;0;0;;0;23;;;;1;;0;1;0;8;1600;;21;0;0;0;1;0
0;1;0;0;0;0;0;;;;541673;;;0;;0;;;;;0;;0;1;1;2315;1920;;13;0;0;0;1;0
0;1;1;0;0;0;0;26288;;;11938;;;0;;15;;;;;0;;0;1;1;;1920;106;12;0;0;0;1;0
0;1;0;0;0;0;0;;;;163113;;;0;;0;;;;;0;;0;1;1;;1280;;16;0;0;0;1;0
0;1;0;0;0;0;0;;;27368;6421;;1;0;;29;0;;;;1;;0;1;1;;1366;;2;0;0;0;1;0
0;1;0;0;0;0;0;;;39001;86410;;;0;;0;11;;;;3;;0;1;1;9;1600;;12;0;0;0;1;0
0;1;0;0;0;0;0;;;10986;27231;;0;0;;4;24;;;;3;;0;1;1;3;1920;;21;0;0;1;0;0
0;1;0;0;0;0;0;;;;607922;;;0;;0;;;;;0;;0;1;2;224;1366;;16;0;0;0;1;0
0;1;0;1;0;0;0;;;;80018;16415;;0;;29;;;35;;0;;0;1;46;46;1680;;16;0;0;0;1;0
