"Treatment";"VisitorKnown";"ViewsOnSale";"ViewedBeforePageCART";"HadBasketAdd";"WasConvertedBefore";"TimeSinceLastVisit";"TimeSinceLastConversion";"TimeOnProduct";"TimeOnOverview";"TimeOnSale";"ClicksPerProduct";"ChannelPaid";"TimeToFirstSearch";"TimeToFirstOverview";"TimeToFirstProduct";"TimeToFirstCART";"TimeToFirstSale";"TimeSinceFirstCART";"NrDifferentProduct";"TimeToBasketAdd";"BasketQuantity";"NormalizedBasketSum";"TimeSinceClick";"TimeSinceTabSwitch";"ScreenWidth";"DurationLastVisit";"HourOfDay";"PageIsHome";"PageIsSearch";"PageIsProduct";"PageIsOverview";"PageIsSale";"Conversion"
1;0;0;0;0;0;3252568;3564135;55345;97566;100238;"0";0;136;0;74;324;90;267;3;315;0;1;8;136;1680;806;23;0;0;0;1;0;0
1;0;6;0;0;0;3252568;3564135;86319;75343;23063;"0";0;136;77;114;324;0;267;0;315;0;1;2;136;1600;806;8;0;0;0;0;1;0
1;0;0;0;0;0;3252568;3564135;86319;99738;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;9;1680;806;19;0;0;0;1;0;0
1;0;5;0;0;0;3252568;3564135;86319;75343;59394;"0";0;136;77;114;324;0;267;0;315;0;1;2;49;1680;806;8;0;0;0;0;1;0
1;0;0;0;0;0;3252568;3564135;0;184483;100238;"0";0;136;0;202;324;90;267;1;315;0;1;2;136;1440;806;18;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;0;136005;100238;"0";0;136;0;106;324;90;267;1;315;0;1;1;11;1920;806;18;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;70709;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;8;1680;806;16;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;7940;110239;100238;"0";0;136;0;23;324;90;267;1;315;0;1;0;8;1600;806;21;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;541673;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;2315;1920;806;13;0;0;0;1;0;0
1;1;0;0;0;0;26288;3564135;86319;11938;100238;"0";0;136;15;114;324;90;267;0;315;0;1;1;136;1920;106;12;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;163113;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;136;1280;806;16;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;27368;6421;100238;"1";0;136;29;0;324;90;267;1;315;0;1;1;136;1366;806;2;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;39001;86410;100238;"0";0;136;0;11;324;90;267;3;315;0;1;1;9;1600;806;12;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;10986;27231;100238;"0";0;136;4;24;324;90;267;3;315;0;1;1;3;1920;806;21;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;86319;607922;100238;"0";0;136;0;114;324;90;267;0;315;0;1;2;224;1366;806;16;0;0;0;1;0;0
1;0;1;0;0;0;3252568;3564135;86319;80018;16415;"0";0;136;29;114;324;35;267;0;315;0;1;46;46;1680;806;16;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;203577;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;136;1280;806;15;0;0;0;1;0;0
1;1;0;0;0;0;2756888;3564135;86319;84511;100238;"0";0;136;21;114;324;90;267;0;315;0;1;3;136;1280;9543;15;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;43842;100238;"0";0;136;0;114;324;90;267;0;315;0;1;2;70;2560;806;15;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;13888;67819;100238;"1";0;136;0;35;324;90;267;1;315;0;1;1;136;1280;806;18;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;17649;92952;100238;"2";0;136;0;37;324;90;267;3;315;0;1;0;33;1280;806;18;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;86319;477017;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;136;1920;806;6;0;0;0;1;0;0
1;0;1;0;0;0;3252568;3564135;86319;90203;41423;"0";0;136;0;114;324;115;267;0;315;0;1;3;136;1600;806;10;0;0;0;1;0;0
1;0;0;0;1;0;3252568;3564135;57292;126348;100238;"2";0;136;0;9;324;90;267;2;108;1;11;2;201;1280;806;10;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;170574;100238;"0";0;136;0;114;324;90;267;0;315;0;1;2;136;1920;806;16;0;0;0;1;0;0
1;0;0;0;1;0;3252568;3564135;43410;316797;100238;"0";0;136;0;11;324;90;267;5;300;2;11;3;136;1680;806;12;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;62645;100238;"0";0;136;0;114;324;90;267;0;315;0;1;0;4;1920;806;9;0;0;0;1;0;0
1;0;3;0;0;0;3252568;3564135;86319;0;74102;"0";0;136;113;114;324;0;267;0;315;0;1;3;5;1280;806;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;740868;100238;"0";0;801;11;114;324;90;267;0;315;0;1;22;23;1366;806;10;0;1;0;0;0;1
1;0;0;0;0;0;3252568;3564135;86319;146954;100238;"0";0;136;0;114;324;90;267;0;315;0;1;3;23;2560;806;11;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;43841;119033;100238;"0";0;136;0;40;324;90;267;3;315;0;1;3;136;1920;806;9;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;5120;144993;100238;"0";0;136;0;74;324;90;267;1;315;0;1;1;136;1280;806;15;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;264675;100238;"0";0;136;0;114;324;90;267;0;315;0;1;2;36;1600;806;20;0;0;0;1;0;0
1;0;1;0;0;0;3252568;3564135;11135;21229;4650;"0";0;136;12;22;324;543;267;2;315;0;1;0;5;1680;806;10;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;0;55411;100238;"0";1;136;15;44;324;90;267;1;315;0;1;2;136;1366;806;20;0;0;0;1;0;1
1;1;0;0;1;0;3012576;3564135;52564;311159;100238;"0";0;136;0;125;324;90;267;4;149;2;18;2;136;1600;1203;17;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;75343;100238;"0";0;136;77;114;324;90;267;0;315;0;1;2;104;1600;806;11;0;0;0;0;0;0
1;1;1;0;0;0;3252568;3564135;86319;75343;0;"0";0;136;77;114;324;16;267;0;315;0;1;3;136;1280;806;18;0;0;0;0;1;0
1;0;0;0;0;0;3252568;3564135;35388;47198;100238;"0";0;136;0;30;324;90;267;4;315;0;1;10;136;1920;806;7;0;0;1;0;0;0
1;1;3;0;0;0;2144049;3564135;86319;75343;5573;"0";0;136;77;114;324;0;267;0;315;0;1;2;136;1024;332;13;0;0;0;0;1;0
1;0;0;0;0;0;3252568;3564135;86319;211569;100238;"0";0;136;0;114;324;90;267;0;315;0;1;0;136;1920;806;13;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;28478;185708;100238;"0";0;136;0;113;324;90;267;2;315;0;1;6;136;1024;806;7;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;266158;100238;"0";0;136;0;114;324;90;267;0;315;0;1;3;31;1413;806;13;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;44926;250944;100238;"1";0;136;0;113;324;90;267;3;315;0;1;1;62;1280;806;22;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;86319;104552;100238;"0";0;136;10;114;324;90;267;0;315;0;1;2;136;1920;806;20;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;16476;107373;100238;"1";0;136;0;82;324;90;267;2;315;0;1;1;29;1440;806;18;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;86319;262205;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;136;1600;806;21;0;0;0;1;0;0
1;0;1;0;0;0;3252568;3564135;86319;50644;60566;"0";0;125;63;114;324;0;267;0;315;0;1;1;136;1366;806;13;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;18009;100238;"0";1;136;8;114;324;90;267;0;315;0;1;1;3;1920;806;18;0;0;0;1;0;1
1;0;0;0;0;0;3252568;3564135;0;205196;100238;"0";0;136;14;233;324;90;267;1;315;0;1;2;136;1366;806;17;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;86319;64299;100238;"0";0;136;0;114;324;90;267;0;315;0;1;2;136;1920;806;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;104785;100238;"0";0;136;25;114;324;90;267;0;315;0;1;5;23;1024;806;19;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;59472;100238;"0";0;136;0;114;324;90;267;0;315;0;1;5;136;1440;806;19;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;39082;52100;100238;"0";0;136;0;30;324;90;267;4;315;0;1;7;7;1680;806;9;0;0;0;1;0;0
1;1;0;0;0;0;3252568;3564135;86319;3218;100238;"0";0;136;0;114;324;90;267;0;315;0;1;2;9;1366;806;17;0;0;0;1;0;0
1;1;0;0;0;0;3403241;3564135;0;99742;100238;"0";0;136;0;19;324;90;267;1;315;0;1;2;136;1366;570;19;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;251865;100238;"0";0;136;14;114;324;90;267;0;315;0;1;1;30;1280;806;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;0;26928;100238;"0";0;136;10;46;324;90;267;1;315;0;1;1;13;1600;806;11;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;75504;52931;100238;"0";0;136;0;9;324;90;267;2;315;0;1;2;136;1600;806;1;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;5492;38657;100238;"0";0;136;0;41;324;90;267;1;315;0;1;6;6;1680;806;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;61326;54151;100238;"0";0;136;460;385;324;90;267;4;315;0;1;1;218;1680;806;8;0;0;0;1;0;0
1;1;0;0;0;0;3252568;3564135;6181;118740;100238;"2";0;136;0;118;324;90;267;1;315;0;1;2;136;1920;806;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;120035;100238;"0";0;136;0;114;324;90;267;0;315;0;1;4;136;1366;806;12;0;0;0;1;0;0
1;1;0;0;0;0;2592221;3564135;86319;53985;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;136;2560;329;15;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;0;64778;100238;"0";0;136;0;72;324;90;267;1;315;0;1;1;136;1152;806;17;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;5074;66933;100238;"0";0;136;0;51;324;90;267;1;315;0;1;3;22;1366;806;15;0;0;0;1;0;0
1;1;0;0;0;0;3193967;3564135;0;39081;100238;"0";0;136;13;54;324;90;267;1;315;0;1;3;40;1600;450;14;0;0;1;0;0;0
1;0;5;0;0;0;3252568;3564135;86319;75343;38703;"0";0;136;77;114;324;13;267;0;315;0;1;3;136;1280;806;16;1;0;0;0;0;0
1;0;4;0;0;0;3252568;3564135;29169;75343;62235;"2";0;136;77;95;324;28;267;2;315;0;1;1;3;1366;806;20;0;0;1;0;0;0
1;1;0;1;0;1;5127;5127;86319;75343;100238;"0";0;136;77;114;9;90;139;0;315;0;1;13;136;1280;568;18;0;0;0;0;0;1
1;0;0;1;1;0;3252568;3564135;95769;75230;100238;"0";0;136;0;389;481;90;61;3;446;2;94;2;136;1600;806;20;0;0;1;0;0;1
1;1;0;0;0;0;3497121;3564135;86319;43350;100238;"0";0;136;540;114;324;90;267;0;315;0;1;11;136;1024;908;8;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;0;57209;100238;"0";0;136;0;64;324;90;267;1;315;0;1;3;136;1600;806;20;0;0;0;1;0;0
1;0;2;0;0;0;3252568;3564135;0;63777;5469;"0";0;136;2;82;324;76;267;1;315;0;1;3;136;1280;806;12;0;0;0;0;1;0
1;0;0;0;0;0;3252568;3564135;0;10581;100238;"0";0;136;13;26;324;90;267;1;315;0;1;0;3;1920;806;13;0;0;1;0;0;1
1;0;0;0;0;0;3252568;3564135;23323;24769;100238;"1";0;136;0;25;324;90;267;2;315;0;1;0;136;1280;806;14;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;33138;42324;100238;"1";0;136;9;50;324;90;267;1;315;0;1;3;136;1280;806;12;0;0;0;1;0;0
1;1;2;0;1;0;3605030;3564135;29142;51137;5340;"0";0;136;0;44;324;143;267;2;115;2;53;10;10;1366;460;6;0;0;0;0;1;0
1;0;0;0;0;0;3252568;3564135;816;26627;100238;"0";0;136;12;37;324;90;267;2;315;0;1;3;136;1920;806;17;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;71986;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;136;1280;806;16;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;58230;281376;100238;"0";0;136;0;12;324;90;267;5;315;0;1;1;23;1920;806;16;0;0;1;0;0;0
1;0;24;0;1;0;3252568;3564135;386272;518219;859945;"0";0;136;27;322;324;596;267;6;758;4;112;5;40;1366;806;14;0;0;0;0;1;1
1;1;0;0;0;0;2767643;3564135;86319;221427;100238;"0";0;136;24;114;324;90;267;0;315;0;1;5;7;1536;1213;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;75664;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;136;1920;806;8;0;0;0;1;0;0
1;1;0;0;0;0;2648221;3564135;86319;10490;100238;"0";0;136;6;114;324;90;267;0;315;0;1;2;136;1280;94;21;0;0;0;1;0;0
1;1;0;0;0;0;3458669;3564135;86319;57283;100238;"0";0;136;5;114;324;90;267;0;315;0;1;1;136;1280;2402;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;3404218;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;11;1152;806;13;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;41161;100238;"0";0;45;0;114;324;90;267;0;315;0;1;3;3;1600;806;16;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;25042;100238;"0";0;136;0;114;324;90;267;0;315;0;1;0;5;1280;806;12;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;69890;321865;100238;"0";0;136;8;104;324;90;267;8;315;0;1;18;136;1280;806;13;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;50600;100238;"0";0;136;0;114;324;90;267;0;315;0;1;3;71;1024;806;11;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;8624;247873;100238;"2";1;136;35;92;324;90;267;1;315;0;1;6;136;1301;806;12;0;0;0;1;0;1
1;0;0;0;0;0;3252568;3564135;86319;144658;100238;"0";0;136;0;114;324;90;267;0;315;0;1;72;136;1366;806;16;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;99416;171650;100238;"0";0;136;31;74;324;90;267;5;315;0;1;59;168;1366;806;13;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;43896;100238;"0";0;136;31;114;324;90;267;0;315;0;1;3;24;1360;806;13;0;0;0;1;0;0
1;0;4;0;0;0;3252568;3564135;0;75343;30676;"0";0;136;77;40;324;0;267;1;315;0;1;13;136;1280;806;5;0;0;0;0;1;0
1;0;2;0;1;0;3252568;3564135;19253;83563;26681;"2";0;136;30;56;324;0;267;1;77;1;6;1;40;1064;806;7;0;0;0;1;0;0
1;0;2;0;1;0;3252568;3564135;19013;61847;20972;"0";0;136;107;74;324;57;267;2;182;1;6;1;136;1440;806;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;5228;75586;100238;"0";0;136;0;26;324;90;267;2;315;0;1;1;66;1366;806;18;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;3787;7549;100238;"1";0;967;0;978;324;90;267;1;315;0;1;4;83;1366;806;22;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;75343;100238;"0";0;136;77;114;324;90;267;0;315;0;1;46;136;1280;806;19;0;0;0;0;0;0
1;0;5;0;0;0;3252568;3564135;86319;13577;81343;"0";0;136;101;114;324;10;267;0;315;0;1;3;136;1280;806;12;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;54522;294120;100238;"0";0;136;0;122;324;90;267;3;315;0;1;0;31;1366;806;7;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;86319;5066;100238;"0";0;136;4;114;324;90;267;0;315;0;1;1;136;1920;806;19;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;46183;100238;"0";0;136;36;114;324;90;267;0;315;0;1;22;136;1920;806;11;0;0;0;0;0;0
1;0;0;0;1;0;3252568;3564135;82205;180924;100238;"0";0;136;9;24;324;90;267;11;260;3;59;17;99;1920;806;20;0;0;0;1;0;1
1;0;5;0;0;0;3252568;3564135;29640;47580;90831;"0";0;136;100;125;324;0;267;2;315;0;1;4;19;1093;806;16;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;0;64864;100238;"0";0;136;18;89;324;90;267;1;315;0;1;2;24;1600;806;14;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;11253;115119;100238;"0";0;136;0;19;324;90;267;2;315;0;1;0;4;1920;806;6;0;0;1;0;0;1
