Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
0;1;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;55345;97566;667.088.239.658.343;433.333.333.333.333;0;139.346.467.067.547;0;74;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;3;267.689.931.696.855;0;1;8;143.125.195.099.837;1680;760.044.443.726.684;23;0;0;0;1;0
0;1;0;6;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;635.893.025.932.571;23063;152.824.775.433.392;0;139.346.467.067.547;741.542.893.631.471;130.773.922.536.703;272.951.640.667.025;0;320.822.592.791.824;0;267.689.931.696.855;0;1;2;143.125.195.099.837;1600;760.044.443.726.684;8;0;0;0;0;1
0;1;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;99738;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;0;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;1;9;1680;760.044.443.726.684;19;0;0;0;1;0
0;1;0;5;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;635.893.025.932.571;59394;152.824.775.433.392;0;139.346.467.067.547;741.542.893.631.471;130.773.922.536.703;272.951.640.667.025;0;320.822.592.791.824;0;267.689.931.696.855;0;1;2;49;1680;760.044.443.726.684;8;0;0;0;0;1
0;1;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;0;184483;667.088.239.658.343;0;0;139.346.467.067.547;0;202;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;2;143.125.195.099.837;1440;760.044.443.726.684;18;0;0;1;0;0
0;1;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;0;136005;667.088.239.658.343;0;0;139.346.467.067.547;0;106;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;1;11;1920;760.044.443.726.684;18;0;0;0;1;0
0;1;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;70709;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;0;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;1;8;1680;760.044.443.726.684;16;0;0;0;1;0
0;1;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;7940;110239;667.088.239.658.343;0;0;139.346.467.067.547;0;23;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;0;8;1600;760.044.443.726.684;21;0;0;0;1;0
0;1;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;541673;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;0;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;1;2315;1920;760.044.443.726.684;13;0;0;0;1;0
0;1;1;0;0;0;0;26288;387.402.608.257.218;715.005.855.436.607;11938;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;15;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;1;143.125.195.099.837;1920;106;12;0;0;0;1;0
